CustomerID,Customer_Score,Customer_Type,Segment,Risk_Status,Priority_Flag,Actual_Revenue,Predicted_Revenue,Prediction_Error,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,HVC_Score,RFM_Segment
12346.0,21.86442621923386,High-Value,Hibernating,High Risk,CRITICAL,77183.6,3584.9446836200304,-73598.65531637997,326,1,77183.6,1,1,5,2.6,11
12347.0,51.897510166426166,High-Value,Champions,Low Risk,HIGH,4310.000000000001,3673.3938078265064,-636.6061921734945,2,7,4310.000000000001,5,5,5,5.0,55
12348.0,31.099438705549215,Regular,At_Risk,Low Risk,NORMAL,1797.24,1539.7692630153263,-257.47073698467375,75,4,1797.24,2,4,4,3.4,24
12349.0,27.704448013683304,Regular,Promising,Medium Risk,NORMAL,1757.5500000000002,2488.877971449787,731.3279714497867,19,1,1757.5500000000002,4,1,4,3.1,41
12350.0,5.987041820403905,Regular,Hibernating,High Risk,MEDIUM,334.40000000000003,1239.2789376967914,904.8789376967914,310,1,334.40000000000003,1,1,2,1.4,11
12352.0,44.53482416680792,High-Value,Loyal_Customers,Low Risk,HIGH,2506.0400000000004,4040.499431724864,1534.4594317248634,36,8,2506.0400000000004,3,5,5,4.4,35
12353.0,0.5866513343586457,Regular,Hibernating,High Risk,MEDIUM,89.0,168.84475928834922,79.84475928834922,204,1,89.0,1,1,1,1.0,11
12354.0,16.476901444154393,Regular,Hibernating,High Risk,MEDIUM,1079.4,2548.9066690249156,1469.5066690249155,232,1,1079.4,1,1,4,2.2,11
12355.0,5.8841161326775495,Regular,Hibernating,High Risk,MEDIUM,459.4,964.1096271901672,504.7096271901672,214,1,459.4,1,1,2,1.4,11
12356.0,40.310297289946,High-Value,Potential_Loyalists,Low Risk,HIGH,2811.43,2771.8634244522555,-39.56657554774438,23,3,2811.43,4,3,5,4.1,43
12357.0,33.00620138232414,High-Value,Promising,Medium Risk,HIGH,6207.67,3295.608227289382,-2912.0617727106182,33,1,6207.67,4,1,5,3.5,41
12358.0,35.162267902919034,Regular,Potential_Loyalists,Low Risk,NORMAL,1168.06,2376.110476255044,1208.050476255044,2,2,1168.06,5,2,4,3.7,52
12359.0,40.18659330058566,High-Value,Loyal_Customers,Low Risk,HIGH,6372.58,2441.143832374304,-3931.436167625696,58,4,6372.58,3,4,5,4.1,34
12360.0,36.52275177838943,High-Value,Need_Attention,Low Risk,HIGH,2662.06,2671.486416963983,9.426416963983229,52,3,2662.06,3,3,5,3.8,33
12361.0,0.675639168538725,Regular,Hibernating,High Risk,MEDIUM,189.9,406.7515589972013,216.8515589972013,287,1,189.9,1,1,1,1.0,11
12362.0,52.61299164528617,High-Value,Champions,Low Risk,HIGH,5226.23,5586.216054315621,359.986054315621,3,10,5226.23,5,5,5,5.0,55
12363.0,18.53540298992535,Regular,Hibernating,Medium Risk,NORMAL,552.0,1368.571342406174,816.5713424061739,110,2,552.0,2,2,3,2.4000000000000004,22
12364.0,42.483518091828635,Regular,Champions,Low Risk,NORMAL,1313.1,1898.2272251690217,585.1272251690218,8,4,1313.1,5,4,4,4.300000000000001,54
12365.0,14.910823150602157,Regular,Hibernating,Medium Risk,NORMAL,641.3799999999999,1703.8790765533902,1062.4990765533903,291,2,641.3799999999999,1,2,3,2.1,12
12367.0,15.646773403824426,Regular,New_Customers,Medium Risk,NORMAL,168.89999999999998,329.5796425481403,160.67964254814035,4,1,168.89999999999998,5,1,1,2.2,51
12370.0,40.17908830252228,High-Value,Loyal_Customers,Low Risk,HIGH,3545.69,2421.079403483196,-1124.610596516804,51,4,3545.69,3,4,5,4.1,34
12371.0,27.57109474109862,Regular,About_to_Sleep,Low Risk,NORMAL,1887.96,2132.36125651184,244.40125651184007,45,2,1887.96,3,2,4,3.1,32
12372.0,31.257451257485005,Regular,Need_Attention,Low Risk,NORMAL,1298.0400000000002,1962.211958595485,664.1719585954847,72,3,1298.0400000000002,3,3,4,3.4,33
12373.0,5.9881139629843885,Regular,Hibernating,High Risk,MEDIUM,364.6,1242.1452846812356,877.5452846812356,311,1,364.6,1,1,2,1.4,11
12374.0,22.42413749665213,Regular,Promising,Medium Risk,NORMAL,742.93,1739.4746552990725,996.5446552990726,25,1,742.93,4,1,3,2.7,41
12375.0,24.598430441115234,Regular,Potential_Loyalists,Low Risk,NORMAL,457.5,868.7048030002836,411.2048030002836,11,2,457.5,5,2,2,2.9000000000000004,52
12377.0,20.223297945047822,Regular,Hibernating,Medium Risk,NORMAL,1628.12,2539.272802237425,911.152802237425,315,2,1628.12,1,2,4,2.5,12
